fr,en
si si relis le chapitre ou il fait des test avec ses dit,if reread the chapter or he tests with his says
ou peut-etre que si mais pas montre,or maybe if but not shows
oui il avait preciser mais il pouvais pas la recuperer apres mais maintenant qu'il est un saint il peut le faire jepense,yes he had specified but he could not recover it after but now that he is a saint he can do it i think
il a pas vraiment test,he does not really have a test
ah quoique,ah though
car je sais pas si c'est relie a la terre ou c'est un cercle d'ombre,because i do not know if it connects to the earth or it is a shadow circle
il peut absorber le fragment,it can absorb the fragment
oublier pas qu'il peut absorber avec la lanterne,do not forget that he can absorb with the lantern
pour moi le seul moyen que le fragment reste est qu'il soit lie a la citadelle,for me the only way the fragment remains is that it is bound to the citadel
pour moi le fragment resterait en place,for me the fragment would remain in place
car imaginons sur l'ile d'aletheia s'il avait sortit le fragment a la derniere revolution et que l'ile etait detruite ca detruirait le fragment ou ca laisse intact dans le rayon si c'est le premier cas il y a moyen que ca tp en meme temps le fragment,because let us imagine on the island of aletheia if he had released the fragment at the last revolution and the island was destroyed it would destroy the fragment or it leaves intact in the radius if this is the first case there is a way that it will at the same time fragment
httpstenorcomviewuhh-gif-,httpstenorcomviewuhh-gif-
a voir si ya moyen de lier le fragment avec la citadelle danss ce cas ca doit etee possible,a see if there is a way to link the fragment with the citadel in this case it should be possible
c'est interdit sur le serv de g donc c'est aussi interdit ici,it is forbidden on the g-serve so it is also forbidden here
sinon,if not
c'est toujours interdit malgre son age,it is always forbidden despite his age
d'ailleurs les ships sur rain sont toujours interdits parce que le petit eveille qui lui demandait ses peaux je pense pas qu'il voulait que les lui achetees,i do not think he wanted her to buy them
en vrai c'est peut-etre peu probable mais c'est quand meme possible,in real life it may not be likely but it is still possible
nan c'est rain qui parlait,nan it is a groove talking
alors oui et non,then yes and no
et il a vecu tellement de chose dans sa vie que je pense qu'il peut se le permettre,and he lived so much in his life that i think he can afford it
apres sunny a plus de ans,after sunny is over years old
jsp,jsp
aussi vous pensez que le temple sans nom peut tp le fragment de domaine de sunny avec lui,also you think that the nameless temple can tp the sunny domain fragment with it
jeune fille elle avait ans quand meme,young girl when she was even
httpstenorcomviewmolotov-cocktail-fire-protest-police-cops-gif-,httpstenorcomviewmolotov-cocktail-fire-protest-police-cops-gif-
rain,groove
ptn qu'est-ce que ca grandit vite les enfants,what does it grow up
ah rain mais rain,ah rain but rain
sa me fait bizarre de me dire que l'on arrive dans peu de temps au chapitre,it makes me weird to tell me that we get to the chapter in a short time
merci ie g catscream,thank you ie g catscreen
cimer pour les chaps,cimmer for chaps
mrc le g pour les chaps,mrc the g for chaps
parce qu'en attendant de tout lire pour lire la suite tu lis tout les nouveaux chap d'un coup et pas quotidiennement,because while waiting to read everything to read the rest you read all the new chaps at once and not daily
pq,pq
ah dommage,ah damage
je fais les,i do them
attends tu te refais ss en lisant les derniers chap qui sortent chaque jour ou t'attends,wait for you to read the last chapters that come out every day or wait for you
je me refais ss,i will do it again
ah style tetais en train de relire ou tu y a juste pense comme ca,ah style was reading again or you just thought about it like that
il nous fait des dingueries,he is driving us crazy
g parlait des arts transcendants chap avant l'explication reelle de sunny,g spoke of transcendent arts chap before the real explanation of sunny
on note quand meme le boulot,note when the job is done
sunny l'a bien formee,sunny's got it right
le combat commence bien quelques imprevus pour le rendre plus realiste mais quand meme cool,the fight starts a few unpredicted to make it more realistic but when even cool
httpstenorcomviewkimono-palmashow-gif-,httpstenorcomviewkimono-palmashow-gif-
mrc le g,mrc
d'ailleurs je vais enfin arreter de le spam en mp a gray rigole,besides i will finally stop spam in mp a gray laugh
merci pour les chapitres apugdance,thank you for the chapters apugdance
jespere le debut du combat,jespere the beginning of the fight
nan vraiment mb ptdrrrrrr,nan really mb ptdrrrrrr
j'avais du oublie une ligne car je trouvais ca chelou que si le souhait de qq c'etait en aucun cas en rapport avec le destin ou quoi il puisse quand meme se realiser,i must have forgotten a line because i thought it was crazy that if the wish of qq was in no way related to destiny or what it could even realize
ah ouai nan j'suis con,i am an asshole
c'est juste le souhait de sunny etait realisable dans l'estuaire,it is just the wish of sunny was realized in the estuary
dcp le puit des souhaits est juste une legende,dcp the well of wishes is just a legend
il existe pas le puit des souhaits ptdrrrr,there is no well of wishes ptdrrrr
parce que cassie a dit que ca marcherait seulement pour sunny,because cassie said it would only work for sunny
c'est pas juste une legende,it is not just a legend
rien a voir je sais,nothing to see i know
le puit des souhaits,the well of wishes
quel puit,what well
par contre j'ai une question il y a pas de lien avec l'oiseau voleur et le puit,on the other hand i have a question there is no connection with the bird thief and the well
si lui a l'autorisation je vois pas pq les autres non eveille ne pourraient pas en avoir une aussi,if he is allowed i do not see the other people who do not wake up could not have one as well
comme l'a dit axel c'est un intermediaire du gouv,as axel said it is a gov't intermediary
pour le gouvernement,for government
je crois qu'il est plus lie a song en tant qu'intermediaire,i think he is more connected to thinking as an intermediary
et le pere de rain il a pas dit qu'il faisait des allers retour entre le chant et l'epee,and the father of brass he did not say he was going back between the song and the sword
les commercants peuvent tres bien juste acheter des provisions a des eveille qui eux font le voyage,the traders can very well just buy provisions to wakes that they make the trip
les commercants sont peut tous des eveilles,traders can all be wakes
genre les commercants pour s'approvisionner faut bien qu'ils sortent,like the merchants to get their supplies they have to get out
dans le sens du retour,in the direction of return
bah nn pour moi faut juste demande,bahn for me just have to ask
ils doivent laisser passer que les eveilles peut-etre,they must let pass that the awakens may
genre un fils d'heritier a jure fidelite les parents de rain pas,like a heritier's son swears fidelity to the parents of no groin
genre si t'as pas la carte fidelite tu peut pas revenir dans le monde reel,like if you do not have the loyalty card you cannot come back into the real world
je pense que ya habiter et jure fidelite,i think ya live and swear fidelite
donc la eme condition est pas respecte,so the same condition is not respected
car techniquement chaque personne est une partie du domaine,because technically every person is a part of the domain
mais dcp si qqn retourne dans le monde reel est ce qu'il se fait convoquer,but dcp if qqn returns to the real world is what he gets summoned
le temps que la graine fleurisse,as long as the seed blooms
il faut quand meme avoir l'age,when you have to be old
moi aussi je me suis trompee dcp,i have been wrong too
il s'est fait tp par un saint dcp il a eu la graine,he made himself by a saint dcp he had the seed
il a fait son cauchemar lui non,he is had his nightmare
caster nan et c'etait un heritier,caster nan and he was a heir
parce que ca m'etonnerai que caster est demande a anvil,because it will surprise me that caster is asking for an anvil
mea culpa,mea culpa
et dcp une personne tp par un saint irai passer son cauchemar des qu'il arrive,and dcp a person tp by a saint will pass his nightmare as soon as he arrives
y'a rien qui l'en empeche en vrai t'as raison,there is nothing to keep her from it you are right
